tau,mode1_score,oe_fitted_score,oe_first_derivative,oe_second_derivative,oe_third_derivative,true_clean_score_reference
0.5900000000000001,0.910358245745801,0.8870328596874698,10.025168851587669,-82.4237723370074,-853.2554175455471,1.439881106084326
0.6000000000000001,1.0025693259274309,0.9830243878270378,9.159569180538968,-90.56318355612574,-773.4806421371946,1.525060635112252
0.6100000000000001,1.113663164182828,1.0699665248119579,8.216675638165901,-97.87171104864345,-687.2054419944084,1.5990620993326605
0.6200000000000001,1.1475082336721814,1.1471289273880314,7.205109187010834,-104.28824085590632,-595.2163557893953,1.6610012422219016
0.63,1.288491093066331,1.2138703844749053,6.134061784453379,-109.75976670136298,-498.34715506513356,1.7100907339686646
0.64,1.3471963570450876,1.2696441141678412,5.013213068409013,-114.24182491980078,-397.47130527943654,1.7456488736793438
0.65,1.395579021728348,1.3140022071206943,3.85264307630274,-117.69885233999048,-293.4941070091661,1.7671073735685656
0.66,1.388949784383713,1.3465991805455735,2.6627417826089497,-120.10446427327228,-187.34458787332227,1.774018145103707
0.67,1.4335536447612691,1.3671946150481022,1.4541162651609518,-121.44165047631662,-79.9672176497015,1.7660590161282583
0.68,1.4573763706218934,1.3756548547136702,0.23749632810377663,-121.70288768792997,27.686479670798125,1.7430383177326552
0.6900000000000001,1.4564793029371594,1.3719537591964892,-0.9763605803352107,-120.89016808083556,134.66634253396685,1.704898289982895
0.7000000000000001,1.4650962974268948,1.3561725049655686,-2.1767643142123,-119.01494371327135,240.03194286167587,1.6517172664615047
0.7100000000000001,1.3649419406064847,1.32849844125557,-3.353186003880031,-116.09798780544038,342.86083786517094,1.5837106088222561
0.7200000000000001,1.3615576265429075,1.2892230145819314,-4.4953502330674295,-112.16917439581577,442.2566303614871,1.5012303741057949
0.7300000000000001,1.3087694611460385,1.238738783835715,-5.593324613582389,-107.26717864564425,537.356767298941,1.4047637093015761
0.7400000000000001,1.2222546796119378,1.1775355559030647,-6.637605978347956,-101.43910075049175,627.3400087861561,1.2949299794640858
0.7500000000000001,1.1824351350147537,1.1061956793879288,-7.619202446407788,-94.7400170793298,711.4335030941805,1.1724766474891972
0.76,1.0679237322332478,1.0253885412887298,-8.529710652907317,-87.2324627887608,788.9194068325114,1.0382739353210044
0.77,0.9669096142542439,0.9358643183272376,-9.361387482504552,-78.985850747126,859.1409937522529,0.8933083077829378
0.78,0.847638645912915,0.8384470409924386,-10.107215695761939,-70.0758321454268,921.5082003635262,0.7386748313040927
0.79,0.7555204476108244,0.7340270341893317,-10.760962894346692,-60.58360466459825,975.5025617260868,0.5755684704401789
0.8,0.61586290897063,0.6235528036233607,-11.317233331802752,-50.59517450758399,1020.6814963343969,0.40527439517018987
0.81,0.5041199416274171,0.5080224416614838,-11.771512141699244,-40.200578986195474,1056.6819049206915,0.22915738139159642
0.8200000000000001,0.3540590853320274,0.38847463035275803,-12.120201623516692,-29.493076673777136,1083.2230541883869,0.048650395751038036
0.8300000000000001,0.2413365548963122,0.2659793225325515,-12.360649298085926,-18.568312392643186,1100.1087229078532,-0.13475753614662517
0.8400000000000001,0.0857732944925435,0.1416281844494458,-12.491167518103124,-7.523464498089762,1107.2285943995523,-0.31953407208392914
0.8500000000000001,-0.055251917701293604,0.01652488512315244,-12.511044494550035,3.5436179529333365,1104.5588861370497,-0.5041167939875467
0.8600000000000001,-0.16313783909169524,-0.10822468134715822,-12.420546676079931,14.53528050152076,1092.1622139648578,-0.6869268298802828
0.8700000000000001,-0.29997487008842577,-0.2315221540578478,-12.220912494912007,25.35492341667855,1070.18669518355,-0.866382735792568
0.8800000000000001,-0.41513466114355024,-0.35228635820917026,-11.914337568834467,35.90784909322444,1038.8643014476772,-1.0409145134684763
0.89,-0.5366726391717997,-0.4694627679690472,-11.50395152388052,46.10208929801598,998.5084789918316,-1.208977637891277
0.9,-0.6191047317443416,-0.5820326966278291,-10.99378667545525,55.84920505208219,949.5110600894112,-1.3690669679814433
0.91,-0.7384566318291473,-0.6890221341136062,-10.3887388765171,65.06505220624963,892.338495801612,-1.519730414293626
0.92,-0.8486348574619247,-0.7895101553657468,-9.69452090923929,73.67050609802773,827.5274459375423,-1.659582239156726
0.93,-0.8723379519772635,-0.8826368271527744,-8.917608860809949,81.59213906462924,755.679767669748,-1.7873158674498366
0.9400000000000001,-0.9577216136663982,-0.9676105456315806,-8.065181984120757,88.76284502748003,677.4569493852831,-1.9017160900643593
0.9500000000000001,-0.9923887195087171,-1.0437147422336146,-7.145056599531664,95.1224058532642,593.5740410572935,-2.00167054703584
0.9600000000000001,-1.030351292589839,-1.1103139012816567,-6.16561464421159,100.6179947309831,504.7931366559114,-2.0861803832960915
0.9700000000000001,-1.0336039563588681,-1.166858839034377,-5.135727520319874,105.20461237876688,411.91646784477007,-2.154369976944909
0.9800000000000001,-1.0813309335148205,-1.2128912005678005,-4.064675932138618,108.84545250304902,315.77917139983424,-2.20549564781082
0.9900000000000001,-1.0102904785189772,-1.2480471379722742,-2.962066434871436,111.51219357069762,217.24179541435595,-2.2389532627928594
1.0,-1.0491123326231768,-1.2720601407067296,-1.8377454439284484,113.18521461604628,117.18261139685633,-2.254284663973741
